"sample_id","coll_date","bap","WAVE","freq"
"113",48,"8/1/2007",7.98,"Polymitarcyidae",1
"114",48,"8/1/2007",7.98,"Heptageniidae",2
"115",48,"8/1/2007",7.98,"Ephemerellidae",1
"116",49,"9/13/2007",7.64,"Brachycentridae",1
"117",49,"9/13/2007",7.64,"Philopotamidae",1
"118",49,"9/13/2007",7.64,"Isonychiidae",1
"119",49,"9/13/2007",7.64,"Heptageniidae",2
"120",49,"9/13/2007",7.64,"Psephenidae",1
"121",49,"9/13/2007",7.64,"Ephemerellidae",1
"122",49,"9/13/2007",7.64,"Perlidae",1
"123",53,"9/12/2007",5.75,"Glossosomatidae",1
"124",53,"9/12/2007",5.75,"Hydroptilidae",1
"125",62,"8/1/2007",8.48,"Perlidae",2
"126",62,"8/1/2007",8.48,"Isonychiidae",1
"127",62,"8/1/2007",8.48,"Leuctridae",1
"128",62,"8/1/2007",8.48,"Polycentropodidae",1
"129",62,"8/1/2007",8.48,"Leptophlebiidae",1
"130",62,"8/1/2007",8.48,"Psephenidae",1
"131",62,"8/1/2007",8.48,"Ephemerellidae",1
"132",62,"8/1/2007",8.48,"Philopotamidae",1
"133",64,"8/2/2007",7.93,"Caenidae",1
"134",64,"8/2/2007",7.93,"Philopotamidae",2
"135",64,"8/2/2007",7.93,"Hydroptilidae",1
"136",64,"8/2/2007",7.93,"Psephenidae",1
"137",64,"8/2/2007",7.93,"Heptageniidae",2
"138",64,"8/2/2007",7.93,"Leptohyphidae",1
"139",64,"8/2/2007",7.93,"Gomphidae",1
"140",70,"8/1/2007",7.38,"Caenidae",1
"141",70,"8/1/2007",7.38,"Hydroptilidae",1
"142",70,"8/1/2007",7.38,"Isonychiidae",1
"143",70,"8/1/2007",7.38,"Heptageniidae",2
"144",70,"8/1/2007",7.38,"Polycentropodidae",1
"145",73,"8/1/2007",6.74,"Perlidae",1
"146",73,"8/1/2007",6.74,"Philopotamidae",1
"147",73,"8/1/2007",6.74,"Isonychiidae",1
"148",73,"8/1/2007",6.74,"Leptophlebiidae",1
"149",73,"8/1/2007",6.74,"Heptageniidae",1
"150",78,"9/5/2007",7.3,"Perlidae",2
"151",78,"9/5/2007",7.3,"Athericidae",1
"152",78,"9/5/2007",7.3,"Philopotamidae",2
"153",78,"9/5/2007",7.3,"Heptageniidae",2
"154",78,"9/5/2007",7.3,"Corydalidae",1
"155",80,"9/12/2007",5.11,"Philopotamidae",1
"156",80,"9/12/2007",5.11,"Corydalidae",1
"157",80,"9/12/2007",5.11,"Psephenidae",1
"158",81,"8/1/2007",9.12,"Perlidae",2
"159",81,"8/1/2007",9.12,"Hydroptilidae",1
"160",81,"8/1/2007",9.12,"Athericidae",1
"161",81,"8/1/2007",9.12,"Caenidae",1
"162",81,"8/1/2007",9.12,"Philopotamidae",1
"163",81,"8/1/2007",9.12,"Helicopsychidae",1
"164",81,"8/1/2007",9.12,"Isonychiidae",1
"165",81,"8/1/2007",9.12,"Heptageniidae",2
"166",81,"8/1/2007",9.12,"Psephenidae",1
"167",81,"8/1/2007",9.12,"Ephemerellidae",1
"168",82,"7/31/2007",8.22,"Philopotamidae",1
"169",82,"7/31/2007",8.22,"Glossosomatidae",1
"170",82,"7/31/2007",8.22,"Hydroptilidae",1
"171",82,"7/31/2007",8.22,"Isonychiidae",1
"172",82,"7/31/2007",8.22,"Leuctridae",1
"173",82,"7/31/2007",8.22,"Heptageniidae",1
"174",82,"7/31/2007",8.22,"Chloroperlidae",1
"175",89,"8/2/2007",7.25,"Philopotamidae",1
"176",89,"8/2/2007",7.25,"Isonychiidae",1
"177",89,"8/2/2007",7.25,"Psephenidae",1
"178",89,"8/2/2007",7.25,"Heptageniidae",1
"179",89,"8/2/2007",7.25,"Leptohyphidae",1
"180",89,"8/2/2007",7.25,"Gomphidae",1
"181",106,"7/25/2007",8.02,"Perlidae",2
"182",106,"7/25/2007",8.02,"Athericidae",1
"183",106,"7/25/2007",8.02,"Philopotamidae",1
"184",106,"7/25/2007",8.02,"Heptageniidae",3
"185",106,"7/25/2007",8.02,"Leptohyphidae",1
"186",109,"7/25/2007",7.14,"Potamanthidae",1
"187",109,"7/25/2007",7.14,"Athericidae",1
"188",109,"7/25/2007",7.14,"Philopotamidae",2
"189",109,"7/25/2007",7.14,"Heptageniidae",3
"190",109,"7/25/2007",7.14,"Isonychiidae",1
"191",109,"7/25/2007",7.14,"Corydalidae",1
"192",109,"7/25/2007",7.14,"Perlidae",1
"193",109,"7/25/2007",7.14,"Psephenidae",1
"194",109,"7/25/2007",7.14,"Rhyacophilidae",1
"195",121,"8/28/2007",7.91,"Perlidae",4
"196",121,"8/28/2007",7.91,"Athericidae",1
"197",121,"8/28/2007",7.91,"Brachycentridae",1
"198",121,"8/28/2007",7.91,"Philopotamidae",1
"199",121,"8/28/2007",7.91,"Heptageniidae",3
"200",121,"8/28/2007",7.91,"Ephemeridae",1
"201",121,"8/28/2007",7.91,"Glossosomatidae",1
"202",121,"8/28/2007",7.91,"Isonychiidae",1
"203",121,"8/28/2007",7.91,"Corydalidae",1
"204",121,"8/28/2007",7.91,"Psephenidae",1
"205",121,"8/28/2007",7.91,"Rhyacophilidae",1
"206",122,"8/28/2007",7.45,"Perlidae",2
"207",122,"8/28/2007",7.45,"Athericidae",1
"208",122,"8/28/2007",7.45,"Caenidae",1
"209",122,"8/28/2007",7.45,"Philopotamidae",1
"210",122,"8/28/2007",7.45,"Isonychiidae",1
"211",122,"8/28/2007",7.45,"Corydalidae",1
"212",122,"8/28/2007",7.45,"Psephenidae",1
"213",122,"8/28/2007",7.45,"Heptageniidae",1
"214",125,"9/28/2007",4.72,"Philopotamidae",1
"215",125,"9/28/2007",4.72,"Rhyacophilidae",1
"216",126,"9/28/2007",3.85,"Perlidae",1
"217",126,"9/28/2007",3.85,"Athericidae",1
"218",127,"9/28/2007",6.25,"Athericidae",1
"219",127,"9/28/2007",6.25,"Philopotamidae",1
"220",127,"9/28/2007",6.25,"Corydalidae",1
"221",127,"9/28/2007",6.25,"Rhyacophilidae",1
"222",128,"9/28/2007",5.82,"Caenidae",1
"223",128,"9/28/2007",5.82,"Polycentropodidae",1
"224",128,"9/28/2007",5.82,"Heptageniidae",1
"225",128,"9/28/2007",5.82,"Perlidae",1
"226",134,"9/5/2007",5.62,"Athericidae",1
"227",134,"9/5/2007",5.62,"Philopotamidae",1
"228",134,"9/5/2007",5.62,"Psephenidae",2
"229",134,"9/5/2007",5.62,"Corydalidae",1
"230",134,"9/5/2007",5.62,"Heptageniidae",1
"231",135,"9/5/2007",5.94,"Perlidae",1
"232",135,"9/5/2007",5.94,"Athericidae",1
"233",135,"9/5/2007",5.94,"Philopotamidae",2
"234",135,"9/5/2007",5.94,"Psephenidae",1
"235",135,"9/5/2007",5.94,"Heptageniidae",1
"236",136,"9/5/2007",6.54,"Athericidae",1
"237",136,"9/5/2007",6.54,"Helicopsychidae",1
"238",136,"9/5/2007",6.54,"Corydalidae",1
"239",136,"9/5/2007",6.54,"Psephenidae",1
"240",136,"9/5/2007",6.54,"Heptageniidae",2
"241",138,"7/10/2007",6.9,"Athericidae",1
"242",138,"7/10/2007",6.9,"Brachycentridae",1
"243",138,"7/10/2007",6.9,"Glossosomatidae",1
"244",138,"7/10/2007",6.9,"Perlidae",1
"245",138,"7/10/2007",6.9,"Psephenidae",1
"246",138,"7/10/2007",6.9,"Heptageniidae",1
"247",139,"7/10/2007",6.85,"Perlidae",2
"248",139,"7/10/2007",6.85,"Athericidae",1
"249",139,"7/10/2007",6.85,"Philopotamidae",2
"250",139,"7/10/2007",6.85,"Ephemerellidae",1
"251",141,"7/10/2007",7.6,"Philopotamidae",1
"252",141,"7/10/2007",7.6,"Glossosomatidae",1
"253",141,"7/10/2007",7.6,"Hydroptilidae",1
"254",141,"7/10/2007",7.6,"Isonychiidae",1
"255",141,"7/10/2007",7.6,"Corydalidae",1
"256",141,"7/10/2007",7.6,"Psephenidae",1
"257",141,"7/10/2007",7.6,"Heptageniidae",1
"258",250,"9/12/2006",4.19,"Psephenidae",1
"259",250,"9/12/2006",4.19,"Heptageniidae",1
"260",250,"9/12/2006",4.19,"Gomphidae",1
"261",250,"9/12/2006",4.19,"Leptohyphidae",1
"262",252,"9/12/2006",7.12,"Perlidae",1
"263",252,"9/12/2006",7.12,"Philopotamidae",1
"264",252,"9/12/2006",7.12,"Isonychiidae",1
"265",252,"9/12/2006",7.12,"Psephenidae",1
"266",252,"9/12/2006",7.12,"Heptageniidae",2
"267",253,"9/13/2006",5.93,"Athericidae",1
"268",253,"9/13/2006",5.93,"Caenidae",1
"269",253,"9/13/2006",5.93,"Philopotamidae",1
"270",253,"9/13/2006",5.93,"Isonychiidae",1
"271",253,"9/13/2006",5.93,"Ephemerellidae",1
"272",260,"9/11/2006",6.45,"Athericidae",1
"273",260,"9/11/2006",6.45,"Philopotamidae",2
"274",260,"9/11/2006",6.45,"Helicopsychidae",1
"275",260,"9/11/2006",6.45,"Psephenidae",1
"276",260,"9/11/2006",6.45,"Heptageniidae",2
"277",261,"9/11/2006",6.77,"Isonychiidae",1
"278",261,"9/11/2006",6.77,"Heptageniidae",1
"279",261,"9/11/2006",6.77,"Gomphidae",1
"280",261,"9/11/2006",6.77,"Leptophlebiidae",1
"281",262,"9/12/2006",7.28,"Philopotamidae",2
"282",262,"9/12/2006",7.28,"Isonychiidae",1
"283",262,"9/12/2006",7.28,"Polycentropodidae",1
"284",262,"9/12/2006",7.28,"Psephenidae",1
"285",262,"9/12/2006",7.28,"Heptageniidae",3
"286",262,"9/12/2006",7.28,"Ephemerellidae",1
"287",262,"9/12/2006",7.28,"Leptophlebiidae",1
"288",266,"9/12/2006",7.24,"Perlidae",2
"289",266,"9/12/2006",7.24,"Philopotamidae",2
"290",266,"9/12/2006",7.24,"Helicopsychidae",1
"291",266,"9/12/2006",7.24,"Psephenidae",1
"292",266,"9/12/2006",7.24,"Heptageniidae",1
"293",266,"9/12/2006",7.24,"Ephemerellidae",1
"294",270,"9/11/2006",6.65,"Philopotamidae",1
"295",270,"9/11/2006",6.65,"Isonychiidae",1
"296",270,"9/11/2006",6.65,"Heptageniidae",1
"297",270,"9/11/2006",6.65,"Perlidae",1
"298",273,"9/12/2006",6.75,"Perlidae",1
"299",273,"9/12/2006",6.75,"Isonychiidae",1
"300",274,"9/12/2006",8.17,"Perlidae",1
"301",274,"9/12/2006",8.17,"Caenidae",1
"302",274,"9/12/2006",8.17,"Philopotamidae",1
"303",274,"9/12/2006",8.17,"Ephemerellidae",1
"304",274,"9/12/2006",8.17,"Isonychiidae",1
"305",274,"9/12/2006",8.17,"Corydalidae",1
"306",274,"9/12/2006",8.17,"Leptophlebiidae",1
"307",274,"9/12/2006",8.17,"Heptageniidae",2
"308",274,"9/12/2006",8.17,"Gomphidae",1
"309",277,"9/12/2006",5.77,"Philopotamidae",1
"310",277,"9/12/2006",5.77,"Isonychiidae",1
"311",277,"9/12/2006",5.77,"Corydalidae",1
"312",277,"9/12/2006",5.77,"Heptageniidae",1
"313",280,"9/12/2006",8.33,"Perlidae",2
"314",280,"9/12/2006",8.33,"Philopotamidae",1
"315",280,"9/12/2006",8.33,"Heptageniidae",4
"316",280,"9/12/2006",8.33,"Isonychiidae",1
"317",280,"9/12/2006",8.33,"Corydalidae",1
"318",280,"9/12/2006",8.33,"Leptophlebiidae",1
"319",280,"9/12/2006",8.33,"Psephenidae",1
"320",280,"9/12/2006",8.33,"Rhyacophilidae",1
"321",280,"9/12/2006",8.33,"Peltoperlidae",1
"322",280,"9/12/2006",8.33,"Ephemerellidae",1
"323",282,"9/13/2006",5.1,"Caenidae",1
"324",282,"9/13/2006",5.1,"Philopotamidae",1
"325",282,"9/13/2006",5.1,"Psephenidae",1
"326",287,"9/12/2006",7.78,"Athericidae",1
"327",287,"9/12/2006",7.78,"Caenidae",1
"328",287,"9/12/2006",7.78,"Philopotamidae",2
"329",287,"9/12/2006",7.78,"Isonychiidae",1
"330",287,"9/12/2006",7.78,"Heptageniidae",2
"331",287,"9/12/2006",7.78,"Psephenidae",1
"332",287,"9/12/2006",7.78,"Ephemerellidae",1
"333",287,"9/12/2006",7.78,"Leptophlebiidae",1
"334",293,"9/13/2006",7.41,"Perlidae",1
"335",293,"9/13/2006",7.41,"Caenidae",1
"336",293,"9/13/2006",7.41,"Philopotamidae",1
"337",293,"9/13/2006",7.41,"Isonychiidae",1
"338",293,"9/13/2006",7.41,"Corydalidae",1
"339",293,"9/13/2006",7.41,"Psephenidae",1
"340",293,"9/13/2006",7.41,"Heptageniidae",2
"341",293,"9/13/2006",7.41,"Gomphidae",1
"342",314,"9/28/2006",7.7,"Perlidae",1
"343",314,"9/28/2006",7.7,"Philopotamidae",1
"344",314,"9/28/2006",7.7,"Ephemerellidae",1
"345",314,"9/28/2006",7.7,"Glossosomatidae",1
"346",314,"9/28/2006",7.7,"Isonychiidae",1
"347",314,"9/28/2006",7.7,"Lepidostomatidae",1
"348",314,"9/28/2006",7.7,"Heptageniidae",2
"349",319,"9/27/2006",6.8,"Perlidae",1
"350",319,"9/27/2006",6.8,"Heptageniidae",2
"351",319,"9/27/2006",6.8,"Ephemerellidae",1
"352",319,"9/27/2006",6.8,"Rhyacophilidae",1
"353",323,"9/27/2006",7.49,"Perlidae",2
"354",323,"9/27/2006",7.49,"Heptageniidae",2
"355",323,"9/27/2006",7.49,"Ephemerellidae",1
"356",323,"9/27/2006",7.49,"Isonychiidae",1
"357",323,"9/27/2006",7.49,"Lepidostomatidae",1
"358",323,"9/27/2006",7.49,"Uenoidae",1
"359",323,"9/27/2006",7.49,"Leptophlebiidae",1
"360",323,"9/27/2006",7.49,"Rhyacophilidae",1
"361",335,"9/27/2006",5.3,"Ephemerellidae",2
"362",335,"9/27/2006",5.3,"Corydalidae",1
"363",335,"9/27/2006",5.3,"Polycentropodidae",1
"364",335,"9/27/2006",5.3,"Psephenidae",1
"365",335,"9/27/2006",5.3,"Odontoceridae",1
"366",335,"9/27/2006",5.3,"Heptageniidae",3
"367",338,"9/27/2006",6.46,"Ephemerellidae",1
"368",338,"9/27/2006",6.46,"Lepidostomatidae",1
"369",338,"9/27/2006",6.46,"Heptageniidae",1
"370",338,"9/27/2006",6.46,"Uenoidae",1
"371",338,"9/27/2006",6.46,"Leptophlebiidae",1
"372",341,"9/27/2006",7.79,"Perlidae",1
"373",341,"9/27/2006",7.79,"Ephemerellidae",1
"374",341,"9/27/2006",7.79,"Leptophlebiidae",1
"375",341,"9/27/2006",7.79,"Rhyacophilidae",1
"376",341,"9/27/2006",7.79,"Heptageniidae",2
"377",346,"8/23/2006",7.03,"Athericidae",1
"378",346,"8/23/2006",7.03,"Helicopsychidae",1
"379",346,"8/23/2006",7.03,"Hydroptilidae",1
"380",346,"8/23/2006",7.03,"Isonychiidae",1
"381",346,"8/23/2006",7.03,"Psephenidae",1
"382",346,"8/23/2006",7.03,"Heptageniidae",1
"383",351,"8/22/2006",3.33,"Leptohyphidae",1
"384",353,"8/22/2006",5.97,"Hydroptilidae",1
"385",353,"8/22/2006",5.97,"Psephenidae",1
"386",355,"8/22/2006",6.34,"Caenidae",1
"387",355,"8/22/2006",6.34,"Hydroptilidae",1
"388",355,"8/22/2006",6.34,"Psephenidae",1
"389",355,"8/22/2006",6.34,"Heptageniidae",2
"390",355,"8/22/2006",6.34,"Leptohyphidae",1
"391",359,"8/1/2006",8.14,"Caenidae",1
"392",359,"8/1/2006",8.14,"Philopotamidae",1
"393",359,"8/1/2006",8.14,"Heptageniidae",4
"394",359,"8/1/2006",8.14,"Isonychiidae",1
"395",359,"8/1/2006",8.14,"Perlidae",1
"396",359,"8/1/2006",8.14,"Psephenidae",1
"397",359,"8/1/2006",8.14,"Leptohyphidae",1
"398",362,"8/1/2006",5.87,"Athericidae",1
"399",362,"8/1/2006",5.87,"Corydalidae",1
"400",363,"7/31/2006",7.68,"Perlidae",1
"401",363,"7/31/2006",7.68,"Athericidae",1
"402",363,"7/31/2006",7.68,"Heptageniidae",3
"403",363,"7/31/2006",7.68,"Psephenidae",1
"404",363,"7/31/2006",7.68,"Leptohyphidae",1
"405",363,"7/31/2006",7.68,"Leuctridae",1
"406",365,"8/1/2006",9.31,"Athericidae",1
"407",365,"8/1/2006",9.31,"Caenidae",1
"408",365,"8/1/2006",9.31,"Philopotamidae",1
"409",365,"8/1/2006",9.31,"Heptageniidae",3
"410",365,"8/1/2006",9.31,"Ephemeridae",1
"411",365,"8/1/2006",9.31,"Isonychiidae",1
"412",365,"8/1/2006",9.31,"Corydalidae",1
"413",365,"8/1/2006",9.31,"Leptophlebiidae",1
"414",365,"8/1/2006",9.31,"Pteronarcidae",1
"415",365,"8/1/2006",9.31,"Ephemerellidae",1
"416",365,"8/1/2006",9.31,"Gomphidae",1
"417",365,"8/1/2006",9.31,"Leptohyphidae",1
"418",365,"8/1/2006",9.31,"Perlidae",1
"419",366,"7/31/2006",6.62,"Philopotamidae",1
"420",366,"7/31/2006",6.62,"Isonychiidae",1
"421",366,"7/31/2006",6.62,"Heptageniidae",2
"422",368,"7/31/2006",8.68,"Perlidae",1
"423",368,"7/31/2006",8.68,"Athericidae",1
"424",368,"7/31/2006",8.68,"Brachycentridae",1
"425",368,"7/31/2006",8.68,"Caenidae",1
"426",368,"7/31/2006",8.68,"Philopotamidae",2
"427",368,"7/31/2006",8.68,"Ephemerellidae",1
"428",368,"7/31/2006",8.68,"Heptageniidae",2
"429",368,"7/31/2006",8.68,"Isonychiidae",1
"430",368,"7/31/2006",8.68,"Psephenidae",1
"431",368,"7/31/2006",8.68,"Gomphidae",1
"432",369,"7/31/2006",7.56,"Athericidae",1
"433",369,"7/31/2006",7.56,"Caenidae",1
"434",369,"7/31/2006",7.56,"Philopotamidae",1
"435",369,"7/31/2006",7.56,"Heptageniidae",3
"436",369,"7/31/2006",7.56,"Isonychiidae",1
"437",369,"7/31/2006",7.56,"Corydalidae",1
"438",369,"7/31/2006",7.56,"Gomphidae",1
"439",378,"7/25/2006",6.46,"Philopotamidae",1
"440",378,"7/25/2006",6.46,"Heptageniidae",1
"441",379,"7/26/2006",3.39,"Caenidae",1
"442",379,"7/26/2006",3.39,"Psephenidae",1
"443",383,"7/25/2006",6.99,"Athericidae",1
"444",383,"7/25/2006",6.99,"Caenidae",1
"445",383,"7/25/2006",6.99,"Isonychiidae",1
"446",383,"7/25/2006",6.99,"Psephenidae",1
"447",383,"7/25/2006",6.99,"Heptageniidae",1
"448",383,"7/25/2006",6.99,"Leptohyphidae",1
"449",384,"7/25/2006",7.28,"Isonychiidae",1
"450",384,"7/25/2006",7.28,"Psephenidae",1
"451",384,"7/25/2006",7.28,"Heptageniidae",1
"452",384,"7/25/2006",7.28,"Capniidae",1
"453",385,"7/26/2006",6.33,"Perlidae",1
"454",385,"7/26/2006",6.33,"Philopotamidae",1
"455",385,"7/26/2006",6.33,"Uenoidae",1
"456",385,"7/26/2006",6.33,"Psephenidae",1
"457",385,"7/26/2006",6.33,"Heptageniidae",2
"458",387,"7/25/2006",7.26,"Perlidae",1
"459",387,"7/25/2006",7.26,"Hydroptilidae",1
"460",387,"7/25/2006",7.26,"Isonychiidae",1
"461",387,"7/25/2006",7.26,"Leptophlebiidae",1
"462",387,"7/25/2006",7.26,"Heptageniidae",1
"463",387,"7/25/2006",7.26,"Polycentropodidae",1
"464",388,"7/27/2006",6.98,"Perlidae",1
"465",388,"7/27/2006",6.98,"Philopotamidae",1
"466",388,"7/27/2006",6.98,"Glossosomatidae",1
"467",388,"7/27/2006",6.98,"Isonychiidae",1
"468",388,"7/27/2006",6.98,"Lepidostomatidae",1
"469",388,"7/27/2006",6.98,"Corydalidae",1
"470",388,"7/27/2006",6.98,"Leptophlebiidae",1
"471",388,"7/27/2006",6.98,"Psephenidae",1
"472",391,"7/25/2006",5.18,"Perlidae",1
"473",391,"7/25/2006",5.18,"Athericidae",1
"474",391,"7/25/2006",5.18,"Philopotamidae",1
"475",391,"7/25/2006",5.18,"Psephenidae",1
"476",393,"7/25/2006",7.1,"Athericidae",1
"477",393,"7/25/2006",7.1,"Philopotamidae",2
"478",393,"7/25/2006",7.1,"Psephenidae",1
"479",393,"7/25/2006",7.1,"Ephemerellidae",1
"480",393,"7/25/2006",7.1,"Heptageniidae",1
"481",397,"7/27/2006",8.47,"Potamanthidae",1
"482",397,"7/27/2006",8.47,"Brachycentridae",1
"483",397,"7/27/2006",8.47,"Caenidae",1
"484",397,"7/27/2006",8.47,"Philopotamidae",1
"485",397,"7/27/2006",8.47,"Ephemerellidae",1
"486",397,"7/27/2006",8.47,"Isonychiidae",1
"487",397,"7/27/2006",8.47,"Lepidostomatidae",1
"488",397,"7/27/2006",8.47,"Gomphidae",1
"489",397,"7/27/2006",8.47,"Heptageniidae",1
"490",397,"7/27/2006",8.47,"Leptohyphidae",1
"491",402,"7/26/2006",6.01,"Philopotamidae",1
"492",402,"7/26/2006",6.01,"Helicopsychidae",1
"493",402,"7/26/2006",6.01,"Psephenidae",1
"494",402,"7/26/2006",6.01,"Heptageniidae",1
"495",404,"7/26/2006",7.09,"Perlidae",2
"496",404,"7/26/2006",7.09,"Brachycentridae",1
"497",404,"7/26/2006",7.09,"Philopotamidae",1
"498",404,"7/26/2006",7.09,"Corydalidae",1
"499",404,"7/26/2006",7.09,"Polymitarcyidae",1
"500",404,"7/26/2006",7.09,"Psephenidae",1
"501",404,"7/26/2006",7.09,"Heptageniidae",1
"502",407,"7/26/2006",3.71,"Heptageniidae",1
"503",411,"7/27/2006",4.94,"Perlidae",1
"504",411,"7/27/2006",4.94,"Psephenidae",1
